;Country;Population;longitude;latitude;N;Frequency_of_digestors;Reference
457;AUSTRIA;Austrian;14;47,75;32;0,81;Rosenkranz, W., et al. (1982) Hum.Genet 62, 158.
458;AUSTRIA;Karnten Austrian;14,31;46,62;46;0,8;Rosenkranz, W., et al. (1982) Hum.Genet 62, 158.
459;AUSTRIA;Oberosterreich Austrian;14,3;48,3;45;0,84;Rosenkranz, W., et al. (1982) Hum.Genet 62, 158.
460;AUSTRIA;Tirol Austrian;9,77;47,5;124;0,83;Rosenkranz, W., et al. (1982) Hum.Genet 62, 158.
13;Belgium;Not specified;4,469936;50,503887;1051;0,85;Houben, 15. Additional
14;Botswana;San (Khoe speaking);24,684866;-22,328474;20;0,15;Breton, 2014. Lactase
314;BOTSWANA;Shua;25;-25;22;0,09;Nurse, G. T., & Jenkins, T. (1974) Br. Med. J. 2, 728.
15;Brazil;Not specified;-51,92528;-14,235004;501;0,409;De Campos, 2016. Hypolactasia.
16;Brazil;Individuals in Porto Alegre (European ancestry);-51,92528;-14,235004;337;0,514;Friedrich, 2012. Several
17;Brazil;Individuals in Porto Alegre (African ancestry);-51,92528;-14,235004;182;0,319;Friedrich, 2012. Several
18;Brazil;Individuals in Belem;-51,92528;-14,235004;200;0,31;Friedrich, 2012. Several
19;Brazil;Induviduals in Recife;-51,92528;-14,235004;262;0,366;Friedrich, 2012. Several
20;Brazil;4 groups of Amerindians (Guarani-Kaiowá, Guarani-Nandeva, Kaingang, Xavante);-51,92528;-14,235004;316;0,054;Friedrich, 2012. Stability
21;Brazil;Euro-Brazilians from South Brazil;-51,92528;-14,235004;292;0,555;Boschmann, 2016. The frequency
22;Brazil;Mennonites from South Brazil;-51,92528;-14,235004;151;0,88;Boschmann, 2016. The frequency
23;Brazil;White people;-51,92528;-14,235004;399;0,434;Mattar, 09. Frequency
24;Brazil;Brown people;-51,92528;-14,235004;65;0,431;Mattar, 09. Frequency
25;Brazil;Black people;-51,92528;-14,235004;50;0,2;Mattar, 09. Frequency
26;Brazil;Japanese-Brazilians;-51,92528;-14,235004;53;0;Mattar, 09. Frequency
27;Cambodia;Cambodian;104,990963;12,565679;22;0;Bersaglieri, 04
28;Cameroon;Mambila;12,354722;7,369722;122;0;Jones, 2015. Diversity (supplementary table 2)
29;Cameroon;Mambila;12,354722;7,369722;244;0,01;Mulcare,04
30;Cameroon;Shuwa Arab;12,354722;7,369722;102;0,151;Jones, 2015. Diversity (supplementary table 2)
31;Cameroon;Fulbe;12,354722;7,369722;98;0,21;Mulcare, 04
32;Cameroon;Hausa;12,354722;7,369722;36;0,26;Mulcare, 04
33;Cameroon;Nso;12,354722;7,369722;252;0;Mulcare, 04
34;Cameroon;Yamba;12,354722;7,369722;42;0;Mulcare, 04
35;Cameroon;Pygmy;12,354722;7,369722;32;0;Jones, 2015. Diversity (supplementary table 2)
36;Canada;Manitoban Indians (Sioux and Saulteux);-106,346771;56,130366;22;0,09;Ellestad Sayed, 1977. Disaccharide
37;Canada;Czechoslovakian immigrants in Western Canada;-106,346771;56,130366;17;0,824;Leichter, 1972. Lactose
38;Chile;Not specified;-71,542969;-35,675147;121;0,66;Latorre, 2014. Prevalence
39;Chile;Mapuche Populations From Southern Chile;-71,542969;-35,675147;29;0,1;Fernandez, 2014. Brief
40;Chile;Mestizo Populations From Southern Chile;-71,542969;-35,675147;115;0,3;Fernandez, 2014. Brief
313;Chile;Chile, general;-71,54;-35,68;NA;0,2;Bayless 2017
41;China;People from 13 different regions in China;104,195397;35,86166;330;0;Bersaglieri, 04 (with adaptions in Itan 10)
42;China;Mongol;104,195397;35,86166;82;0,049;Sun, 07. The
43;China;Mongol;104,195397;35,86166;20;0,19;Bersaglieri, 04 (with adaptions in Itan 10)
44;China;Uygur;104,195397;35,86166;20;0,1;Bersaglieri, 04 (with adaptions in Itan 10)
45;China;Kazakh in the north of China;104,195397;35,86166;195;0,236;Wang, 84. Prevalence
46;China;Kazak;104,195397;35,86166;94;0,096;Sun, 07. The
47;China;Man;104,195397;35,86166;75;0;Sun, 07. The
48;China;Oroqen;104,195397;35,86166;45;0,022;Sun, 07. The
49;China;Hezhen;104,195397;35,86166;77;0;Sun, 07. The
50;China;People in Sichuan ;104,195397;35,86166;182;0,64;Qiao, 11. Milk
51;China;Not specified;104,195397;35,86166;64;0,719;Luo, 13. Lactose
52;China;Singapore-born Chinese;104,195397;35,86166;77;0,05;Yap, 89. Lactase
53;China;Canada-born Chinese;104,195397;35,86166;49;0,02;Yap, 89. Lactase
54;China;Han Chinese;104,195397;35,86166;100;0;Enattah, 2007. Evidence
55;China;Han Chinese in the north of China;104,195397;35,86166;248;0,077;Wang, 84. Prevalence = Yongfa 84
56;China;Not specified;104,195397;35,86166;32;0,09;Zhao, 10. Lactose
57;China;People in Hangzhou, ethnicity not specified;104,195397;35,86166;64;0,25;Zhu, 2013. Bloating
413;CHINA;Kazakh;87,58;43,8;195;0,24;Yongfa, W., et al. (1984) Hum.Genet. 67, 103.
414;CHINA;Mongols;111,65;40,81;198;0,12;Yongfa, W., et al. (1984) Hum.Genet. 67, 103.
